"Respondent.clean","Respondent.ID","Respondent.entry.ID","Region.within.country.clean","Country.clean","World.region.clean","Crop.clean","Crop.type.clean","Score.type","Score","Respondent.entry.label","TotalScore.allSteps","MeanScore.allSteps","GeoMeanScore.allSteps"
"AR","R4",1,"Queensland","Australia","Australasia / Pacific","Multi- grain & vegetable","Pasture & mixed cropping","Available Interventions",1,"R4-1",5,1,0
"AR","R4",1,"Queensland","Australia","Australasia / Pacific","Multi- grain & vegetable","Pasture & mixed cropping","Monitoring Interventions",0,"R4-1",5,1,0
"AR","R4",1,"Queensland","Australia","Australasia / Pacific","Multi- grain & vegetable","Pasture & mixed cropping","Breadth of Implementation
of Interventions",1,"R4-1",5,1,0
"AM","R3",1,"North-east Eswatini","Eswatini","Africa","Sugar cane","Field crops","Evidence",2,"R3-1",11,1.1,0
"AM","R3",1,"North-east Eswatini","Eswatini","Africa","Sugar cane","Field crops","Representativeness",0,"R3-1",11,1.1,0
"AM","R3",1,"North-east Eswatini","Eswatini","Africa","Sugar cane","Field crops","Limiting Factors",1,"R3-1",11,1.1,0
"AM","R3",1,"North-east Eswatini","Eswatini","Africa","Sugar cane","Field crops","Available Interventions",1,"R3-1",11,1.1,0
"AM","R3",1,"North-east Eswatini","Eswatini","Africa","Sugar cane","Field crops","Monitoring Interventions",0,"R3-1",11,1.1,0
"AM","R3",1,"North-east Eswatini","Eswatini","Africa","Sugar cane","Field crops","Breadth of Implementation
of Interventions",0,"R3-1",11,1.1,0
"BM","R5",1,"New Jersey","USA","North America","Multi- fruit & orchard","Perennial fruit & forestry crops","Evidence",2,"R5-1",7,1.4,0
"BM","R5",1,"New Jersey","USA","North America","Multi- fruit & orchard","Perennial fruit & forestry crops","Representativeness",2,"R5-1",7,1.4,0
"BM","R5",1,"New Jersey","USA","North America","Multi- fruit & orchard","Perennial fruit & forestry crops","Limiting Factors",3,"R5-1",7,1.4,0
"BM","R5",1,"New Jersey","USA","North America","Multi- fruit & orchard","Perennial fruit & forestry crops","Available Interventions",1,"R5-1",7,1.4,0
"BM","R5",1,"New Jersey","USA","North America","Multi- fruit & orchard","Perennial fruit & forestry crops","Monitoring Interventions",0,"R5-1",7,1.4,0
"BM","R5",1,"New Jersey","USA","North America","Multi- fruit & orchard","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",1,"R5-1",7,1.4,0
"CT","R6",1,"Multi-region: DIANA & Vatovavy-Fitovinany regions","Madagascar","Africa","Rice","Grain crops","Evidence",2,"R6-1",6,1.2,1.14869835499704
"CT","R6",1,"Multi-region: DIANA & Vatovavy-Fitovinany regions","Madagascar","Africa","Rice","Grain crops","Representativeness",1,"R6-1",6,1.2,1.14869835499704
"CT","R6",1,"Multi-region: DIANA & Vatovavy-Fitovinany regions","Madagascar","Africa","Rice","Grain crops","Limiting Factors",1,"R6-1",6,1.2,1.14869835499704
"CT","R6",1,"Multi-region: DIANA & Vatovavy-Fitovinany regions","Madagascar","Africa","Rice","Grain crops","Available Interventions",1,"R6-1",6,1.2,1.14869835499704
"CT","R6",1,"Multi-region: DIANA & Vatovavy-Fitovinany regions","Madagascar","Africa","Rice","Grain crops","Monitoring Interventions",1,"R6-1",6,1.2,1.14869835499704
"CT","R6",1,"Multi-region: DIANA & Vatovavy-Fitovinany regions","Madagascar","Africa","Rice","Grain crops","Breadth of Implementation
of Interventions",1,"R6-1",6,1.2,1.14869835499704
"CT","R6",2,"Multi-region: Catalonia & Aragon","Spain","Europe","Rice","Grain crops","Evidence",3,"R6-2",12,2.4,2.35215804504935
"CT","R6",2,"Multi-region: Catalonia & Aragon","Spain","Europe","Rice","Grain crops","Representativeness",2,"R6-2",12,2.4,2.35215804504935
"CT","R6",2,"Multi-region: Catalonia & Aragon","Spain","Europe","Rice","Grain crops","Limiting Factors",2,"R6-2",12,2.4,2.35215804504935
"CT","R6",2,"Multi-region: Catalonia & Aragon","Spain","Europe","Rice","Grain crops","Available Interventions",3,"R6-2",12,2.4,2.35215804504935
"CT","R6",2,"Multi-region: Catalonia & Aragon","Spain","Europe","Rice","Grain crops","Monitoring Interventions",2,"R6-2",12,2.4,2.35215804504935
"CT","R6",2,"Multi-region: Catalonia & Aragon","Spain","Europe","Rice","Grain crops","Breadth of Implementation
of Interventions",2,"R6-2",12,2.4,2.35215804504935
"CK","R7",1,"Southern Distict","Israel","Middle East / Western Asia","Date palms","Perennial fruit & forestry crops","Evidence",2,"R7-1",9,1.8,1.74110112659225
"CK","R7",1,"Southern Distict","Israel","Middle East / Western Asia","Date palms","Perennial fruit & forestry crops","Representativeness",2,"R7-1",9,1.8,1.74110112659225
"CK","R7",1,"Southern Distict","Israel","Middle East / Western Asia","Date palms","Perennial fruit & forestry crops","Limiting Factors",1,"R7-1",9,1.8,1.74110112659225
"CK","R7",1,"Southern Distict","Israel","Middle East / Western Asia","Date palms","Perennial fruit & forestry crops","Available Interventions",2,"R7-1",9,1.8,1.74110112659225
"CK","R7",1,"Southern Distict","Israel","Middle East / Western Asia","Date palms","Perennial fruit & forestry crops","Monitoring Interventions",2,"R7-1",9,1.8,1.74110112659225
"CK","R7",1,"Southern Distict","Israel","Middle East / Western Asia","Date palms","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",2,"R7-1",9,1.8,1.74110112659225
"CK","R7",2,"Southern Distict","Israel","Middle East / Western Asia","Onion","Vegetable crops","Evidence",1,"R7-2",6,1.2,1.14869835499704
"CK","R7",2,"Southern Distict","Israel","Middle East / Western Asia","Onion","Vegetable crops","Representativeness",1,"R7-2",6,1.2,1.14869835499704
"CK","R7",2,"Southern Distict","Israel","Middle East / Western Asia","Onion","Vegetable crops","Limiting Factors",2,"R7-2",6,1.2,1.14869835499704
"CK","R7",2,"Southern Distict","Israel","Middle East / Western Asia","Onion","Vegetable crops","Available Interventions",1,"R7-2",6,1.2,1.14869835499704
"CK","R7",2,"Southern Distict","Israel","Middle East / Western Asia","Onion","Vegetable crops","Monitoring Interventions",1,"R7-2",6,1.2,1.14869835499704
"CK","R7",2,"Southern Distict","Israel","Middle East / Western Asia","Onion","Vegetable crops","Breadth of Implementation
of Interventions",1,"R7-2",6,1.2,1.14869835499704
"CK","R7",3,"Southern Distict","Israel","Middle East / Western Asia","Melon","Vegetable crops","Evidence",1,"R7-3",5,1,0
"CK","R7",3,"Southern Distict","Israel","Middle East / Western Asia","Melon","Vegetable crops","Representativeness",1,"R7-3",5,1,0
"CK","R7",3,"Southern Distict","Israel","Middle East / Western Asia","Melon","Vegetable crops","Limiting Factors",2,"R7-3",5,1,0
"CK","R7",3,"Southern Distict","Israel","Middle East / Western Asia","Melon","Vegetable crops","Available Interventions",1,"R7-3",5,1,0
"CK","R7",3,"Southern Distict","Israel","Middle East / Western Asia","Melon","Vegetable crops","Monitoring Interventions",0,"R7-3",5,1,0
"CK","R7",3,"Southern Distict","Israel","Middle East / Western Asia","Melon","Vegetable crops","Breadth of Implementation
of Interventions",1,"R7-3",5,1,0
"CK","R7",4,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Evidence",2,"R7-4",9,1.8,1.74110112659225
"CK","R7",4,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Representativeness",1,"R7-4",9,1.8,1.74110112659225
"CK","R7",4,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Limiting Factors",2,"R7-4",9,1.8,1.74110112659225
"CK","R7",4,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Available Interventions",2,"R7-4",9,1.8,1.74110112659225
"CK","R7",4,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Monitoring Interventions",1,"R7-4",9,1.8,1.74110112659225
"CK","R7",4,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",2,"R7-4",9,1.8,1.74110112659225
"CK","R7",5,"Haifa District","Israel","Middle East / Western Asia","Cotton","Field crops","Evidence",2,"R7-5",6,1.2,0
"CK","R7",5,"Haifa District","Israel","Middle East / Western Asia","Cotton","Field crops","Representativeness",1,"R7-5",6,1.2,0
"CK","R7",5,"Haifa District","Israel","Middle East / Western Asia","Cotton","Field crops","Limiting Factors",2,"R7-5",6,1.2,0
"CK","R7",5,"Haifa District","Israel","Middle East / Western Asia","Cotton","Field crops","Available Interventions",1,"R7-5",6,1.2,0
"CK","R7",5,"Haifa District","Israel","Middle East / Western Asia","Cotton","Field crops","Monitoring Interventions",1,"R7-5",6,1.2,0
"CK","R7",5,"Haifa District","Israel","Middle East / Western Asia","Cotton","Field crops","Breadth of Implementation
of Interventions",0,"R7-5",6,1.2,0
"CK","R7",6,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Evidence",2,"R7-6",8,1.6,1.5157165665104
"CK","R7",6,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Representativeness",1,"R7-6",8,1.6,1.5157165665104
"CK","R7",6,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Limiting Factors",1,"R7-6",8,1.6,1.5157165665104
"CK","R7",6,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Available Interventions",2,"R7-6",8,1.6,1.5157165665104
"CK","R7",6,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Monitoring Interventions",2,"R7-6",8,1.6,1.5157165665104
"CK","R7",6,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Breadth of Implementation
of Interventions",1,"R7-6",8,1.6,1.5157165665104
"CK","R7",7,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Evidence",2,"R7-7",7,1.4,1.31950791077289
"CK","R7",7,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Representativeness",1,"R7-7",7,1.4,1.31950791077289
"CK","R7",7,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Limiting Factors",1,"R7-7",7,1.4,1.31950791077289
"CK","R7",7,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Available Interventions",2,"R7-7",7,1.4,1.31950791077289
"CK","R7",7,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Monitoring Interventions",1,"R7-7",7,1.4,1.31950791077289
"CK","R7",7,"Haifa District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Breadth of Implementation
of Interventions",1,"R7-7",7,1.4,1.31950791077289
"CK","R7",8,"Jerusalem District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Evidence",1,"R7-8",3,0.6,0
"CK","R7",8,"Jerusalem District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Representativeness",1,"R7-8",3,0.6,0
"CK","R7",8,"Jerusalem District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Limiting Factors",2,"R7-8",3,0.6,0
"CK","R7",8,"Jerusalem District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Available Interventions",0,"R7-8",3,0.6,0
"CK","R7",8,"Jerusalem District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Monitoring Interventions",0,"R7-8",3,0.6,0
"CK","R7",8,"Jerusalem District","Israel","Middle East / Western Asia","Vineyard","Vineyard","Breadth of Implementation
of Interventions",0,"R7-8",3,0.6,0
"CK","R7",9,"Jerusalem District","Israel","Middle East / Western Asia","Olive groves","Perennial fruit & forestry crops","Evidence",1,"R7-9",4,0.8,0
"CK","R7",9,"Jerusalem District","Israel","Middle East / Western Asia","Olive groves","Perennial fruit & forestry crops","Representativeness",1,"R7-9",4,0.8,0
"CK","R7",9,"Jerusalem District","Israel","Middle East / Western Asia","Olive groves","Perennial fruit & forestry crops","Limiting Factors",2,"R7-9",4,0.8,0
"CK","R7",9,"Jerusalem District","Israel","Middle East / Western Asia","Olive groves","Perennial fruit & forestry crops","Available Interventions",1,"R7-9",4,0.8,0
"CK","R7",9,"Jerusalem District","Israel","Middle East / Western Asia","Olive groves","Perennial fruit & forestry crops","Monitoring Interventions",0,"R7-9",4,0.8,0
"CK","R7",9,"Jerusalem District","Israel","Middle East / Western Asia","Olive groves","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",0,"R7-9",4,0.8,0
"CK","R7",10,"Jerusalem District","Israel","Middle East / Western Asia","Wheat","Grain crops","Evidence",1,"R7-10",3,0.6,0
"CK","R7",10,"Jerusalem District","Israel","Middle East / Western Asia","Wheat","Grain crops","Representativeness",1,"R7-10",3,0.6,0
"CK","R7",10,"Jerusalem District","Israel","Middle East / Western Asia","Wheat","Grain crops","Limiting Factors",2,"R7-10",3,0.6,0
"CK","R7",10,"Jerusalem District","Israel","Middle East / Western Asia","Wheat","Grain crops","Available Interventions",0,"R7-10",3,0.6,0
"CK","R7",10,"Jerusalem District","Israel","Middle East / Western Asia","Wheat","Grain crops","Monitoring Interventions",0,"R7-10",3,0.6,0
"CK","R7",10,"Jerusalem District","Israel","Middle East / Western Asia","Wheat","Grain crops","Breadth of Implementation
of Interventions",0,"R7-10",3,0.6,0
"CK","R7",11,"Southern Distict","Israel","Middle East / Western Asia","Brassica","Vegetable crops","Evidence",1,"R7-11",1,0.2,0
"CK","R7",11,"Southern Distict","Israel","Middle East / Western Asia","Brassica","Vegetable crops","Representativeness",0,"R7-11",1,0.2,0
"CK","R7",11,"Southern Distict","Israel","Middle East / Western Asia","Brassica","Vegetable crops","Limiting Factors",0,"R7-11",1,0.2,0
"CK","R7",11,"Southern Distict","Israel","Middle East / Western Asia","Brassica","Vegetable crops","Available Interventions",0,"R7-11",1,0.2,0
"CK","R7",11,"Southern Distict","Israel","Middle East / Western Asia","Brassica","Vegetable crops","Monitoring Interventions",0,"R7-11",1,0.2,0
"CK","R7",11,"Southern Distict","Israel","Middle East / Western Asia","Brassica","Vegetable crops","Breadth of Implementation
of Interventions",0,"R7-11",1,0.2,0
"CK","R7",12,"Southern Distict","Israel","Middle East / Western Asia","Citrus","Perennial fruit & forestry crops","Evidence",1,"R7-12",1,0.2,0
"CK","R7",12,"Southern Distict","Israel","Middle East / Western Asia","Citrus","Perennial fruit & forestry crops","Representativeness",1,"R7-12",1,0.2,0
"CK","R7",12,"Southern Distict","Israel","Middle East / Western Asia","Citrus","Perennial fruit & forestry crops","Limiting Factors",0,"R7-12",1,0.2,0
"CK","R7",12,"Southern Distict","Israel","Middle East / Western Asia","Citrus","Perennial fruit & forestry crops","Available Interventions",0,"R7-12",1,0.2,0
"CK","R7",12,"Southern Distict","Israel","Middle East / Western Asia","Citrus","Perennial fruit & forestry crops","Monitoring Interventions",0,"R7-12",1,0.2,0
"CK","R7",12,"Southern Distict","Israel","Middle East / Western Asia","Citrus","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",0,"R7-12",1,0.2,0
"CK","R7",13,"Southern Distict","Israel","Middle East / Western Asia","Peach","Perennial fruit & forestry crops","Evidence",0,"R7-13",0,0,0
"CK","R7",13,"Southern Distict","Israel","Middle East / Western Asia","Peach","Perennial fruit & forestry crops","Representativeness",1,"R7-13",0,0,0
"CK","R7",13,"Southern Distict","Israel","Middle East / Western Asia","Peach","Perennial fruit & forestry crops","Limiting Factors",0,"R7-13",0,0,0
"CK","R7",13,"Southern Distict","Israel","Middle East / Western Asia","Peach","Perennial fruit & forestry crops","Available Interventions",0,"R7-13",0,0,0
"CK","R7",13,"Southern Distict","Israel","Middle East / Western Asia","Peach","Perennial fruit & forestry crops","Monitoring Interventions",0,"R7-13",0,0,0
"CK","R7",13,"Southern Distict","Israel","Middle East / Western Asia","Peach","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",0,"R7-13",0,0,0
"CK","R7",14,"Central District","Israel","Middle East / Western Asia","Corn","Grain crops","Evidence",0,"R7-14",0,0,0
"CK","R7",14,"Central District","Israel","Middle East / Western Asia","Corn","Grain crops","Representativeness",1,"R7-14",0,0,0
"CK","R7",14,"Central District","Israel","Middle East / Western Asia","Corn","Grain crops","Limiting Factors",0,"R7-14",0,0,0
"CK","R7",14,"Central District","Israel","Middle East / Western Asia","Corn","Grain crops","Available Interventions",0,"R7-14",0,0,0
"CK","R7",14,"Central District","Israel","Middle East / Western Asia","Corn","Grain crops","Monitoring Interventions",0,"R7-14",0,0,0
"CK","R7",14,"Central District","Israel","Middle East / Western Asia","Corn","Grain crops","Breadth of Implementation
of Interventions",0,"R7-14",0,0,0
"CK","R7",15,"Central District","Israel","Middle East / Western Asia","Potato","Vegetable crops","Evidence",1,"R7-15",1,0.2,0
"CK","R7",15,"Central District","Israel","Middle East / Western Asia","Potato","Vegetable crops","Representativeness",1,"R7-15",1,0.2,0
"CK","R7",15,"Central District","Israel","Middle East / Western Asia","Potato","Vegetable crops","Limiting Factors",0,"R7-15",1,0.2,0
"CK","R7",15,"Central District","Israel","Middle East / Western Asia","Potato","Vegetable crops","Available Interventions",0,"R7-15",1,0.2,0
"CK","R7",15,"Central District","Israel","Middle East / Western Asia","Potato","Vegetable crops","Monitoring Interventions",0,"R7-15",1,0.2,0
"CK","R7",15,"Central District","Israel","Middle East / Western Asia","Potato","Vegetable crops","Breadth of Implementation
of Interventions",0,"R7-15",1,0.2,0
"CK","R7",16,"Central District","Israel","Middle East / Western Asia","Watermelon","Vegetable crops","Evidence",1,"R7-16",2,0.4,0
"CK","R7",16,"Central District","Israel","Middle East / Western Asia","Watermelon","Vegetable crops","Representativeness",1,"R7-16",2,0.4,0
"CK","R7",16,"Central District","Israel","Middle East / Western Asia","Watermelon","Vegetable crops","Limiting Factors",1,"R7-16",2,0.4,0
"CK","R7",16,"Central District","Israel","Middle East / Western Asia","Watermelon","Vegetable crops","Available Interventions",0,"R7-16",2,0.4,0
"CK","R7",16,"Central District","Israel","Middle East / Western Asia","Watermelon","Vegetable crops","Monitoring Interventions",0,"R7-16",2,0.4,0
"CK","R7",16,"Central District","Israel","Middle East / Western Asia","Watermelon","Vegetable crops","Breadth of Implementation
of Interventions",0,"R7-16",2,0.4,0
"CK","R7",17,"Northern District","Israel","Middle East / Western Asia","Wheat","Grain crops","Evidence",1,"R7-17",2,0.4,0
"CK","R7",17,"Northern District","Israel","Middle East / Western Asia","Wheat","Grain crops","Representativeness",2,"R7-17",2,0.4,0
"CK","R7",17,"Northern District","Israel","Middle East / Western Asia","Wheat","Grain crops","Limiting Factors",1,"R7-17",2,0.4,0
"CK","R7",17,"Northern District","Israel","Middle East / Western Asia","Wheat","Grain crops","Available Interventions",0,"R7-17",2,0.4,0
"CK","R7",17,"Northern District","Israel","Middle East / Western Asia","Wheat","Grain crops","Monitoring Interventions",0,"R7-17",2,0.4,0
"CK","R7",17,"Northern District","Israel","Middle East / Western Asia","Wheat","Grain crops","Breadth of Implementation
of Interventions",0,"R7-17",2,0.4,0
"CK","R7",18,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Evidence",1,"R7-18",1,0.2,0
"CK","R7",18,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Representativeness",2,"R7-18",1,0.2,0
"CK","R7",18,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Limiting Factors",0,"R7-18",1,0.2,0
"CK","R7",18,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Available Interventions",0,"R7-18",1,0.2,0
"CK","R7",18,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Monitoring Interventions",0,"R7-18",1,0.2,0
"CK","R7",18,"Northern District","Israel","Middle East / Western Asia","Apple","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",0,"R7-18",1,0.2,0
"CK","R7",19,"Northern District","Israel","Middle East / Western Asia","Tomato","Vegetable crops","Evidence",1,"R7-19",3,0.6,0
"CK","R7",19,"Northern District","Israel","Middle East / Western Asia","Tomato","Vegetable crops","Representativeness",1,"R7-19",3,0.6,0
"CK","R7",19,"Northern District","Israel","Middle East / Western Asia","Tomato","Vegetable crops","Limiting Factors",2,"R7-19",3,0.6,0
"CK","R7",19,"Northern District","Israel","Middle East / Western Asia","Tomato","Vegetable crops","Available Interventions",0,"R7-19",3,0.6,0
"CK","R7",19,"Northern District","Israel","Middle East / Western Asia","Tomato","Vegetable crops","Monitoring Interventions",0,"R7-19",3,0.6,0
"CK","R7",19,"Northern District","Israel","Middle East / Western Asia","Tomato","Vegetable crops","Breadth of Implementation
of Interventions",0,"R7-19",3,0.6,0
"CK","R7",20,"Central District","Israel","Middle East / Western Asia","Cotton","Field crops","Evidence",1,"R7-20",2,0.4,0
"CK","R7",20,"Central District","Israel","Middle East / Western Asia","Cotton","Field crops","Representativeness",1,"R7-20",2,0.4,0
"CK","R7",20,"Central District","Israel","Middle East / Western Asia","Cotton","Field crops","Limiting Factors",1,"R7-20",2,0.4,0
"CK","R7",20,"Central District","Israel","Middle East / Western Asia","Cotton","Field crops","Available Interventions",0,"R7-20",2,0.4,0
"CK","R7",20,"Central District","Israel","Middle East / Western Asia","Cotton","Field crops","Monitoring Interventions",0,"R7-20",2,0.4,0
"CK","R7",20,"Central District","Israel","Middle East / Western Asia","Cotton","Field crops","Breadth of Implementation
of Interventions",0,"R7-20",2,0.4,0
"CK","R7",21,"Southern Distict","Israel","Middle East / Western Asia","Pumpkin","Vegetable crops","Evidence",1,"R7-21",5,1,0
"CK","R7",21,"Southern Distict","Israel","Middle East / Western Asia","Pumpkin","Vegetable crops","Representativeness",1,"R7-21",5,1,0
"CK","R7",21,"Southern Distict","Israel","Middle East / Western Asia","Pumpkin","Vegetable crops","Limiting Factors",0,"R7-21",5,1,0
"CK","R7",21,"Southern Distict","Israel","Middle East / Western Asia","Pumpkin","Vegetable crops","Available Interventions",2,"R7-21",5,1,0
"CK","R7",21,"Southern Distict","Israel","Middle East / Western Asia","Pumpkin","Vegetable crops","Monitoring Interventions",1,"R7-21",5,1,0
"CK","R7",21,"Southern Distict","Israel","Middle East / Western Asia","Pumpkin","Vegetable crops","Breadth of Implementation
of Interventions",1,"R7-21",5,1,0
"CS","R8",1,"Morelos","Mexico","Latin America / Caribbean","Multi- grain & vegetable","Pasture & mixed cropping","Evidence",3,"R8-1",7,1.4,1.24573093961552
"CS","R8",1,"Morelos","Mexico","Latin America / Caribbean","Multi- grain & vegetable","Pasture & mixed cropping","Representativeness",1,"R8-1",7,1.4,1.24573093961552
"CS","R8",1,"Morelos","Mexico","Latin America / Caribbean","Multi- grain & vegetable","Pasture & mixed cropping","Limiting Factors",1,"R8-1",7,1.4,1.24573093961552
"CS","R8",1,"Morelos","Mexico","Latin America / Caribbean","Multi- grain & vegetable","Pasture & mixed cropping","Available Interventions",1,"R8-1",7,1.4,1.24573093961552
"CS","R8",1,"Morelos","Mexico","Latin America / Caribbean","Multi- grain & vegetable","Pasture & mixed cropping","Monitoring Interventions",1,"R8-1",7,1.4,1.24573093961552
"CS","R8",1,"Morelos","Mexico","Latin America / Caribbean","Multi- grain & vegetable","Pasture & mixed cropping","Breadth of Implementation
of Interventions",1,"R8-1",7,1.4,1.24573093961552
"CS","R8",2,"Extremadura","Spain","Europe","Tomato","Vegetable crops","Evidence",2,"R8-2",11,2.2,2.1689435423954
"CS","R8",2,"Extremadura","Spain","Europe","Tomato","Vegetable crops","Representativeness",1,"R8-2",11,2.2,2.1689435423954
"CS","R8",2,"Extremadura","Spain","Europe","Tomato","Vegetable crops","Limiting Factors",2,"R8-2",11,2.2,2.1689435423954
"CS","R8",2,"Extremadura","Spain","Europe","Tomato","Vegetable crops","Available Interventions",3,"R8-2",11,2.2,2.1689435423954
"CS","R8",2,"Extremadura","Spain","Europe","Tomato","Vegetable crops","Monitoring Interventions",2,"R8-2",11,2.2,2.1689435423954
"CS","R8",2,"Extremadura","Spain","Europe","Tomato","Vegetable crops","Breadth of Implementation
of Interventions",2,"R8-2",11,2.2,2.1689435423954
"CO","R9",1,"Multi-country (Peru-Colombia multi-region)","Peru & Colombia","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Evidence",3,"R9-1",5,1,0
"CO","R9",1,"Multi-country (Peru-Colombia multi-region)","Peru & Colombia","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Representativeness",1,"R9-1",5,1,0
"CO","R9",1,"Multi-country (Peru-Colombia multi-region)","Peru & Colombia","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Limiting Factors",2,"R9-1",5,1,0
"CO","R9",1,"Multi-country (Peru-Colombia multi-region)","Peru & Colombia","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Available Interventions",0,"R9-1",5,1,0
